Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,0.182844,0.201440,0.177000,0.184146,0.184146,274383
2017-11-10,0.186496,0.193047,0.159621,0.162215,0.162215,104840
2017-11-11,0.164751,0.177618,0.154064,0.163860,0.163860,60986
2017-11-12,0.162213,0.168997,0.139377,0.158428,0.158428,108836
2017-11-13,0.157320,0.179723,0.152645,0.167354,0.167354,78874
2017-11-14,0.168326,0.173456,0.164345,0.167298,0.167298,65778
2017-11-15,0.167378,0.179863,0.167378,0.175428,0.175428,79503
2017-11-16,0.176535,0.180211,0.157384,0.163480,0.163480,98037
2017-11-17,0.162869,0.172738,0.154577,0.167023,0.167023,105531
2017-11-18,0.166641,0.188574,0.156081,0.170101,0.170101,162352
2017-11-19,0.169630,0.175113,0.149923,0.167936,0.167936,145565
2017-11-20,0.163733,0.183395,0.161200,0.169087,0.169087,112937
2017-11-21,0.170167,0.176684,0.159469,0.167240,0.167240,85483
2017-11-22,0.167838,0.187229,0.165609,0.175699,0.175699,122146
2017-11-23,0.175170,0.199622,0.164533,0.165316,0.165316,206509
2017-11-24,0.164120,0.199318,0.163670,0.174884,0.174884,478381
2017-11-25,0.174389,0.191485,0.171427,0.180741,0.180741,221370
2017-11-26,0.180715,0.220145,0.180715,0.202366,0.202366,741662
2017-11-27,0.202716,0.213455,0.193162,0.206673,0.206673,225923
2017-11-28,0.202375,0.207944,0.189028,0.192432,0.192432,230662
2017-11-29,0.191470,0.274428,0.166594,0.166594,0.166594,2054110
2017-11-30,0.170126,0.201701,0.164659,0.190459,0.190459,160730
2017-12-01,0.189508,0.203334,0.177817,0.201097,0.201097,149077
2017-12-02,0.200582,0.213887,0.191664,0.199785,0.199785,196652
2017-12-03,0.199895,0.210488,0.188332,0.196411,0.196411,165923
2017-12-04,0.196741,0.252787,0.193638,0.228989,0.228989,744692
2017-12-05,0.229125,0.252958,0.218961,0.232553,0.232553,473888
2017-12-06,0.232417,0.276716,0.215995,0.248877,0.248877,1125220
2017-12-07,0.248874,0.252967,0.185294,0.191122,0.191122,457368
2017-12-08,0.192182,0.219065,0.165952,0.219065,0.219065,232525
2017-12-09,0.218638,0.318417,0.178853,0.221283,0.221283,1797370
2017-12-10,0.220869,0.220869,0.158753,0.187183,0.187183,443090
2017-12-11,0.182635,0.222890,0.180949,0.203466,0.203466,455535
2017-12-12,0.205796,0.242135,0.197982,0.216755,0.216755,1205140
2017-12-13,0.217102,0.224644,0.200845,0.224644,0.224644,419438
2017-12-14,0.225673,0.246289,0.209391,0.240816,0.240816,1464440
2017-12-15,0.241010,0.271475,0.211796,0.262387,0.262387,1074060
2017-12-16,0.234636,0.271112,0.178796,0.195141,0.195141,3033990
2017-12-17,0.189774,0.189774,0.132908,0.168710,0.168710,1250970
2017-12-18,0.169133,0.171262,0.149369,0.165279,0.165279,576133
2017-12-19,0.164295,0.173248,0.150579,0.156425,0.156425,490565
2017-12-20,0.156354,0.167232,0.142002,0.154861,0.154861,399348
2017-12-21,0.154184,0.170064,0.142837,0.147506,0.147506,558488
2017-12-22,0.148528,0.176499,0.116684,0.144486,0.144486,582487
2017-12-23,0.145786,0.170639,0.132141,0.153983,0.153983,942976
2017-12-24,0.155576,0.159405,0.130943,0.152759,0.152759,448481
2017-12-25,0.154368,0.160034,0.124018,0.155274,0.155274,370983
2017-12-26,0.155178,0.181834,0.152555,0.175263,0.175263,250659
2017-12-27,0.175392,0.183552,0.151169,0.156685,0.156685,311285
2017-12-28,0.157495,0.158605,0.130088,0.146859,0.146859,338574
2017-12-29,0.148644,0.166297,0.140065,0.164605,0.164605,490657
2017-12-30,0.164199,0.164479,0.130565,0.130569,0.130569,271142
2017-12-31,0.129124,0.157303,0.128855,0.151977,0.151977,279970
2018-01-01,0.152583,0.158990,0.139616,0.147631,0.147631,113765
2018-01-02,0.154243,0.163335,0.144960,0.155271,0.155271,302142
2018-01-03,0.154675,0.163414,0.141081,0.144296,0.144296,189882
2018-01-04,0.146266,0.154485,0.139493,0.143740,0.143740,336493
2018-01-05,0.143760,0.164243,0.142370,0.153014,0.153014,295163
2018-01-06,0.153578,0.153578,0.121916,0.146089,0.146089,175566
2018-01-07,0.145993,0.153762,0.127916,0.140914,0.140914,238341
2018-01-08,0.140232,0.151900,0.130192,0.148269,0.148269,345878
